股票名稱,股數,總損益,交易別,成交均價,市價,現值,付出成本,預估損益,報酬率,幣別
"群益台灣精選高息","32,000","-1,328","現股","24.09","24.09","769,824","771,152","-1,328","-0.17%","台幣"
"元大納斯達克精選","5,000","-595","現股","9.85","9.75","48,690","49,285","-595","-1.21%","台幣"
"富邦媒","244","-66,078","現股","447.57","177.5","43,167","109,245","-66,078","-60.49%","台幣"
總預估損益,"-68,001",總報酬率,"-7.31%"
總預估現值,"861,681",總成本,"929,682"
總融資現金,"0",總利息,"0"
